Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,A,D,A,E,E,B,A,C,D,C,B,E,C,D,C,D,D,B
5,C,A,A,E,E,B,E,C,D,C,B,E,C,D,E,D,B,B
6,E,A,A,E,E,B,E,C,D,B,B,E,C,D,,,,
7,C,E,A,E,E,B,E,C,D,C,B,E,C,D,C,A,B,A
8,C,A,A,E,E,B,E,C,D,C,B,E,C,D,C,A,B,B
9,C,E,A,E,E,B,E,C,D,B,B,E,C,D,C,B,B,B
10,A,E,A,E,E,B,E,C,D,C,B,E,C,E,E,D,,B
11,C,E,A,E,E,B,D,C,D,C,B,E,C,C,E,A,E,B
12,C,A,A,E,E,B,E,C,B,,B,E,,D,,,,
13,C,E,A,E,E,B,C,C,D,C,C,C,C,D,E,D,B,B
21,C,E,A,E,E,B,E,C,D,C,B,E,C,D,E,D,B,B
22,C,A,A,E,E,B,D,C,D,B,B,E,C,C,E,A,B,B
23,C,A,A,E,E,B,D,C,D,C,C,E,C,D,E,D,B,B
24,D,E,A,E,E,B,E,C,D,B,B,E,C,D,E,A,A,B
25,E,E,A,E,E,B,D,C,D,C,C,E,B,D,C,D,B,B
31,C,E,A,E,E,B,A,C,D,E,B,E,,,,,,
32,C,E,A,E,E,B,E,C,D,C,B,E,C,D,E,A,,
41,C,A,A,E,E,B,E,C,D,C,B,E,C,E,E,A,B,B
42,C,E,E,E,E,C,E,C,D,E,B,E,C,D,C,D,B,B
45,E,A,A,E,E,B,E,C,D,C,B,E,C,D,C,D,B,A
46,C,A,E,E,E,D,E,C,D,C,B,C,B,C,C,D,B,B
47,C,E,A,E,E,B,B,C,D,C,B,E,C,D,C,D,B,A
51,A,A,A,E,E,B,E,C,D,C,B,E,C,D,C,D,B,B
52,C,E,A,E,E,B,E,C,D,C,B,E,C,D,E,D,B,B
54,C,E,A,E,E,C,E,C,D,C,B,E,C,E,C,D,B,B
53,D,E,A,E,E,B,B,C,B,C,C,E,B,C,A,A,,
55,C,A,A,E,E,B,D,C,D,C,B,E,C,D,C,D,B,B
57,C,A,A,E,E,B,D,C,D,C,B,E,C,D,E,D,B,A
58,C,A,A,E,E,B,A,C,D,C,B,E,C,D,E,A,A,A
59,C,A,A,E,E,B,A,C,D,E,B,E,C,D,C,A,B,A
60,C,E,A,E,E,B,E,C,D,C,B,E,C,E,C,D,B,B
62,D,A,A,E,E,B,C,C,B,A,C,E,D,D,D,A,B,B
63,A,A,A,E,E,A,E,C,D,B,C,E,C,D,C,D,B,A
61,C,E,A,E,E,B,E,C,D,C,B,E,C,D,E,D,,
70,C,E,A,E,E,B,A,C,D,C,B,E,B,E,E,,,
71,E,E,A,E,E,B,D,C,D,C,B,E,C,C,C,D,A,B
77,C,E,A,E,E,B,B,C,D,C,B,E,C,E,C,D,C,B
78,C,A,A,E,E,B,A,C,D,C,B,E,C,C,E,D,E,B
75,C,A,A,E,B,C,E,E,D,C,C,E,C,D,E,A,B,C
72,C,E,A,E,E,C,A,C,D,E,B,E,C,E,C,D,A,B
73,A,E,E,E,E,B,D,C,B,D,B,E,B,D,C,A,B,B
76,C,A,A,E,E,B,C,C,D,C,B,E,C,E,C,D,B,B
79,C,E,A,E,E,B,E,C,D,C,C,E,C,D,C,A,B,B
80,C,A,A,E,E,B,E,C,C,C,B,E,C,C,E,A,B,A
85,C,A,A,D,E,C,E,C,D,C,B,A,C,D,C,D,B,A
86,C,A,A,E,E,B,B,C,D,E,B,E,C,D,E,A,B,B
87,E,A,A,E,E,B,,C,,,,E,C,C,C,,B,B
89,C,A,A,E,E,A,D,C,D,E,B,E,C,D,E,A,C,B
91,C,A,A,E,E,B,E,C,D,C,B,E,C,E,E,B,,A
94,C,E,A,C,E,B,E,C,D,,B,E,C,D,E,D,B,B
95,C,E,A,E,E,B,E,C,D,C,B,E,C,D,C,D,B,B
120,D,A,A,E,E,B,A,C,D,C,B,E,C,C,C,A,B,B
121,C,A,A,E,E,B,A,C,D,E,B,E,C,D,C,D,,B
122,E,E,A,E,E,B,E,C,D,E,C,E,C,D,C,D,B,A
123,C,A,A,E,E,B,E,C,D,C,B,E,C,D,C,D,B,B
124,C,E,A,E,E,B,A,C,D,C,B,E,C,D,E,D,B,B
125,C,E,A,E,E,B,,C,,C,B,E,B,D,C,,,B
130,C,E,A,E,E,B,B,C,D,C,B,E,C,D,E,D,B,B
131,C,E,A,E,E,C,B,C,D,C,B,E,B,C,E,A,C,B
132,C,B,A,E,E,B,E,C,D,C,B,E,C,C,E,D,B,B
133,C,A,A,E,E,C,A,C,D,E,C,E,C,E,E,D,B,B
134,C,A,A,E,E,C,A,C,D,C,B,E,C,D,C,D,A,B
135,C,A,A,E,E,B,E,C,D,C,B,E,B,D,C,D,B,
136,C,E,A,E,E,B,E,C,D,C,B,E,C,E,C,D,B,B
140,C,A,E,E,E,B,E,C,D,B,B,E,C,E,C,D,B,B
141,D,A,A,E,B,C,B,C,D,E,B,E,C,D,C,D,A,B
142,A,E,A,E,E,B,C,C,D,C,B,E,C,D,E,A,B,A
143,C,A,A,E,E,B,B,C,D,A,B,E,,,,,,
144,C,E,A,E,E,B,E,C,D,C,B,E,C,D,E,D,B,B
150,A,E,A,E,E,B,A,C,D,C,B,E,C,D,C,D,B,B
152,C,E,E,E,E,B,,C,D,C,B,E,C,D,C,D,,B
153,C,A,A,E,E,C,A,C,D,C,B,E,C,D,C,A,E,B
115,E,A,A,E,E,D,A,C,D,E,B,E,D,D,C,A,B,B
