Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10,11,12,13,14,1,2,3,4,5,6,7,8,9,10,11,12,13,1,2,3,4,5,6,7,8,9,10
4,B,C,B,D,E,B,D,B,F,E,B,,,BE,AE,AD,CE,BE,AE,AB,BE,AD,BA?,DE,CD,AB,AE,E,E,E,B,C,E,E,E,E,B,F,,,B,A,D,D,A,B,C,D,B,A
5,B,C,B,D,E,B,D,B,F,A,,,,BE,AE,AD,CE,BE,AD,AB,BE,AD,BD,BD,AE,BE,AC,E,E,E,B,D,D,E,F,,,,,,B,A,D,D,A,B,B,D,,
6,B,C,B,D,E,B,D,B,F,,,,,BE,AE,AD,BD,AC,AD,BE,BE,AE,BD,AE,CD,,,E,E,E,B,,D,E,,,,,,,B,A,D,D,A,,B,,,
7,A,C,B,D,E,B,A,D,F,,B,,,BE,AE,AD,CE,BE,AD,AB,CD,AB,AD,BD,BD,AE,BD,E,E,E,B,F,D,E,E,A,E,,,,B,A,D,D,A,B,C,D,A,B
8,B,C,B,D,E,B,D,B,F,C,,,,BE,AE,AD,BD,AD,AD,AB,CD,BD,BD,BD,CE,DE,BD,E,E,E,B,F,D,E,E,A,,,,,B,A,D,D,A,E,A,D,A,B
9,B,C,B,D,E,B,D,F,A,E,B,,,BE,AE,AD,BD,BE,AD,BE,BE,AD,BD,,CD,BC,BC,E,E,E,B,C,D,E,E,A,,,,,B,A,D,D,A,B,B,D,,
10,B,C,B,D,E,B,D,B,F,,B,,,BE,AE,AD,BD,BE,AD,BE,BE,AD,BD,AE,CD,CE,,E,E,E,B,F,D,E,E,A,,,,,B,A,D,D,A,B,C,D,C,D
11,B,C,B,D,E,B,D,B,F,C,,,,BE,AE,AD,CE,AE,AE,BE,BE,AD,DB,DE,CD,BC,BC,E,E,E,E,F,D,E,F,,,,,,B,A,D,D,A,B,A,D,A,
12,B,C,B,D,E,D,D,D,A,,B,,,BE,AE,AD,BD,BE,AD,AB,BE,CE,AD,BD,CD,AE,AB,E,E,E,B,F,A,E,E,E,,,,,B,A,D,D,C,A,B,D,,
13,B,C,B,D,E,B,D,E,F,,,,,BE,AE,AD,BD,BE,AD,BE,BE,BD,BD,,AC,AB,BC,E,E,E,B,B,D,E,E,,,,,,B,A,B,D,A,E,,,,
21,B,C,B,D,E,B,D,F,F,C,,,,BE,AE,AD,BD,BE,AD,BE,AD,BD,BD,DE,AB,BC,,E,E,E,B,D,D,E,E,,,,,,B,A,D,D,A,,C,D,C,A
22,B,C,B,D,E,B,D,B,F,C,B,,,BE,AE,AD,,AC,AD,BE,BE,AD,BD,BD,CD,BC,AC,E,A,E,B,,E,E,,,,,,,B,A,D,D,A,B,C,D,C,E
23,B,C,B,D,E,B,A,B,F,,,,,BE,AE,AD,CE,AC,AD,AB,BE,AD,BD,BD,BC,BC,AE,E,E,E,B,D,D,E,E,D,,,,,B,A,D,D,A,B,C,D,A,
24,B,C,B,D,E,B,D,B,F,,B,,,BE,AE,AD,CE,BE?,AE,BE,BE,AD,BD,CE,CD,BC,BE,E,E,E,B,D,D,E,E,A,,,,,B,A,D,D,A,B,C,D,A,
