Subject,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35
4,5,7,3,6,8,5,2,2,6,3,8,6,7,7,7,4,5,3
5,5,7,3,6,8,5,2,2,6,3,8,6,4,7,8,4,3,1
6,5,7,3,6,8,5,2,7,3,3,8,8,,,7,,,
7,5,7,3,6,8,5,2,2,4,3,8,6,7,3,7,7,5,1
8,5,7,3,6,8,5,2,8,6,3,8,6,2,7,6,2,2,1
9,5,7,3,6,8,5,2,2,6,3,8,6,7,1,6,4,7,3
10,5,7,3,6,8,5,2,2,6,3,1,6,7,7,6,4,5,1
11,5,7,3,6,8,5,2,2,6,3,8,6,2,7,2,6,7,3
12,1,7,3,6,8,5,5,2,6,5,8,6,4,7,6,,,
13,5,7,3,6,8,5,2,2,6,3,8,6,2,7,2,4,5,4
21,5,7,3,6,8,5,2,2,6,3,8,6,7,7,7,4,,
22,5,7,3,6,8,5,5,2,6,3,8,6,7,5,7,4,5,3
23,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,5,3
24,5,7,2,6,8,5,2,2,6,1,8,6,7,7,7,3,5,
25,5,7,3,6,8,5,2,2,6,3,8,6,7,7,,,,
31,5,7,3,2,3,5,2,2,7,3,8,8,7,7,8,3,5,1
32,5,7,3,6,8,5,2,2,6,3,8,8,7,7,3,,,
41,5,7,3,6,8,5,2,2,3,3,8,8,4,1,7,4,1,3
42,5,7,3,6,8,5,5,2,6,3,8,6,7,7,7,6,3,1
45,5,7,3,6,8,5,5,2,6,3,8,6,7,7,6,4,7,7
46,5,7,3,6,1,5,2,2,6,3,8,3,7,7,3,4,3,
47,5,7,3,6,8,5,2,2,6,3,4,6,7,7,5,3,5,3
51,5,7,3,6,8,5,2,2,6,3,8,6,7,7,7,4,5,3
52,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,5,3
54,5,7,3,6,8,5,2,2,6,3,8,6,7,5,7,4,5,1
53,5,3,7,2,1,5,6,7,6,5,4,1,1,6,2,8,2,1
55,5,7,3,6,8,5,2,2,6,3,8,6,7,6,7,4,5,7
57,5,7,3,2,8,5,2,2,6,3,8,6,2,5,7,4,5,3
58,5,7,3,6,7,5,5,2,3,3,8,8,1,4,3,7,6,
59,5,7,3,6,8,5,2,2,6,8,8,3,4,6,3,4,5,3
60,5,7,3,6,2,5,5,2,4,7,8,6,7,6,6,5,3,7
62,5,6,1,6,8,5,4,5,3,7,4,5,1,6,8,3,6,6
63,5,7,3,6,8,5,6,2,6,5,1,1,7,4,7,,5,6
61,5,7,3,6,8,5,2,2,6,3,8,6,7,7,7,4,,
70,5,7,3,6,8,5,2,2,6,3,1,,7,1,5,,5,
71,5,7,2,6,8,5,5,8,3,3,4,6,6,7,6,4,7,3
77,1,7,3,2,8,5,1,2,6,8,8,3,7,7,,,,
78,5,7,3,6,8,5,2,2,6,3,5,6,7,7,6,4,,1
75,5,7,3,6,8,5,3,8,6,5,8,6,7,7,7,8,3,
72,5,7,3,6,8,5,2,2,6,3,8,8,2,5,6,4,5,3
153,5,7,3,6,8,5,2,2,6,3,4,6,5,7,4,4,5,3
152,5,7,3,6,8,5,2,2,6,3,8,6,7,7,7,4,,3
150,5,7,3,6,8,5,2,2,3,3,8,6,7,3,7,5,5,3
144,5,7,3,6,8,5,2,2,6,,8,6,7,,6,4,5,
143,5,7,3,6,8,5,2,2,6,3,8,6,7,6,6,,,
142,5,7,3,6,8,5,2,2,6,3,8,6,7,7,2,4,5,3
141,5,7,3,6,2,5,5,2,6,3,8,3,7,3,6,5,1,3
140,5,7,3,6,8,5,2,2,6,3,4,6,7,5,7,3,7,
136,5,7,3,6,8,5,2,2,6,3,8,3,7,7,7,4,5,4
135,5,7,3,6,8,5,2,2,6,3,8,6,7,3,,,,
134,5,7,3,6,8,5,2,2,6,4,4,6,7,,7,,,
133,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,,3
132,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,8,,3
131,5,7,3,2,8,5,2,2,6,3,8,6,7,7,2,4,5,1
130,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,5,3
125,4,7,3,6,8,5,2,2,6,3,8,,7,7,,,,
124,5,7,3,6,8,5,5,2,3,3,8,6,2,7,6,4,3,3
123,5,7,3,6,8,5,2,2,6,3,,6,2,,7,4,1,
122,1,7,3,6,8,5,5,2,6,8,8,6,7,7,7,4,6,3
121,5,7,3,6,8,5,5,2,,3,8,6,5,7,6,,,
120,5,7,3,6,8,5,2,2,6,3,8,1,7,7,6,2,1,1
95,5,7,3,6,8,5,2,2,6,3,8,6,7,3,6,4,,3
94,5,7,3,6,8,5,2,2,6,3,8,6,7,7,,,,3
91,5,7,3,6,8,3,2,2,6,3,8,6,7,6,2,8,,
89,5,7,3,6,8,5,2,2,6,3,8,6,2,7,6,4,,1
87,5,7,3,6,1,5,2,2,6,1,8,8,7,7,2,7,,
86,5,7,3,6,8,5,2,2,6,8,1,,7,7,,,5,
85,5,7,3,6,8,5,2,2,6,8,8,6,7,7,7,4,1,3
80,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,4,
79,5,7,3,6,8,5,2,2,6,8,8,6,7,7,6,1,,7
76,5,7,3,6,8,5,2,2,6,3,8,6,7,7,6,4,5,1
73,5,7,3,2,8,5,2,2,6,1,1,3,2,5,6,3,8,
115,5,7,3,6,8,5,2,2,3,3,8,1,1,6,7,4,8,1
