Subject,1a,1b,1c,1d,1e,2a,2b,2c,2d,2e,3a,3b,3c,3d,3e,4a,4b,4c,4d,4e,5a,5b,5c,5d,5e
4,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
5,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,,,,,
6,B,A,A,E,B,E,D,A,F,A,,,,,,,,A,,,,,,,
7,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,E,A,F,E,C,D,B
8,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
9,B,A,A,E,B,E,F,A,F,A,A,B,D,A,E,A,B,G,E,A,,E,C,D,B
10,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
11,B,A,A,E,F,E,,A,F,A,A,B,A,B,E,A,C,G,E,A,,,,,
12,C,A,A,E,B,,,A,,A,,,,,,,,,,,,,,,
13,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,F,A,H,E,C,D,A
21,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,F,A,F,E,C,D,B
22,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,E,A,H,E,C,D,B
23,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,H,E,C,D,B
24,C,A,A,E,B,E,D,G,F,A,A,B,A,C,E,A,C,G,F,A,H,E,C,,B
25,B,A,A,E,B,E,D,A,F,A,A,B,C,A,D,,,,,,,,,,
31,B,A,A,E,B,E,D,A,F,B,A,B,A,D,E,A,C,G,F,A,,,C,,B
32,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,,,,,B
41,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
42,B,A,A,E,B,E,F,A,F,A,A,B,A,B,E,,,,,,,,,,
45,B,A,A,E,B,E,D,A,F,A,A,B,D,A,B,A,C,G,E,A,H,E,C,,
46,B,A,A,E,B,E,A,B,F,D,A,B,,,E,,,,,,,,,,
47,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,H,E,C?,,B
51,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
52,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,F,E,C,D,B
54,B,A,A,E,B,E,D,A,F,A,A,B,D,B,E,A,C,G,H,A,H,E,C,D,B
53,C,A,F,F,B,D,F,A,F,B,A,B,A,D,C,A,E,G,E,A,A,B,B,H,F
55,B,A,A,E,B,E,D,A,F,A,A,B,A,B,E,A,C,G,H,A,,,,,B
57,C,A,A,E,C,D,E,A,A,G,C,B,C,D,E,A,B,G,E,A,F,D,C,E,B
