Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
6,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
11,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
12,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
13,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
22,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1
23,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
24,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
25,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1
31,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
41,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
42,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1
45,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
46,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1
47,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
51,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
54,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1
53,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0
55,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
57,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
58,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
59,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0
60,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
62,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
63,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
70,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
71,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
77,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
78,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
75,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0
72,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
73,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1
76,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
79,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
80,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0
85,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0
86,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1
87,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1
89,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1
91,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
94,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
120,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
121,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1
122,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0
123,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
124,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
125,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
130,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
131,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1
132,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
133,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1
134,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
135,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
136,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
140,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1
141,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1
142,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
143,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
150,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
