Subject,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0
6,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
7,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0
8,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1
12,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
22,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
31,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0
32,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
41,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1
42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
45,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
46,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0
47,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
53,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
57,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
58,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
59,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
60,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0
62,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
70,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
71,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1
77,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0
78,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
75,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0
72,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
150,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
144,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
143,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
141,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1
140,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
136,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
135,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
134,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
131,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
124,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1
123,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
122,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1
121,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0
120,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
