Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,0,1,1,1,0,1,1,1,1,1,1,1,1,1
5,1,1,1,0,1,1,1,0,1,1,1,1,0,0
6,0,1,1,1,1,1,0,0,1,0,0,0,0,0
7,1,1,1,1,1,1,1,1,1,1,1,0,0,0
8,1,1,1,1,1,1,0,1,1,1,1,1,1,1
9,0,1,1,1,1,0,0,1,1,1,1,0,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,1,1,1,1,1,1,0,1,1,1,1,0,1
12,1,1,1,1,1,1,1,1,1,0,1,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,0,1,1,1,1,1,1,0,0
24,1,1,1,1,1,0,1,1,1,1,1,0,1,1
25,1,1,1,1,1,1,1,1,1,0,1,1,1,0
31,1,1,1,1,1,1,1,1,1,1,1,0,0,0
32,0,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,0,0,1,1,1,1,1,1,1
42,1,1,1,1,1,1,0,1,1,1,0,0,0,0
45,0,1,1,1,1,1,1,1,1,0,0,0,0,0
46,0,0,1,1,1,1,0,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,0,0,0
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,0,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,0,0,0,0
53,1,1,1,0,0,0,0,1,1,0,0,1,0,0
55,1,1,1,1,1,0,0,1,1,1,1,1,1,1
57,1,1,1,0,1,1,1,1,1,1,1,1,1,1
58,0,1,1,1,1,1,1,1,1,1,1,0,1,1
59,0,1,1,1,1,1,0,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,0,1,1
62,0,0,0,0,0,0,0,1,1,0,0,0,0,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,0
61,1,1,1,1,1,1,1,1,1,1,1,0,0,0
70,1,1,1,1,1,0,1,1,1,0,0,0,0,0
71,0,1,1,1,1,1,1,1,1,1,1,1,0,0
77,1,1,1,1,1,1,1,1,1,1,1,0,0,0
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1,1,1,1,0,0,0,0,1,0,1,1,0,1
153,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1,0,1,1
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,0,1,1,1,0,1,0,1,1,0,1,1,1,0
142,1,1,1,1,1,1,0,1,1,1,1,0,1,1
141,1,1,1,1,1,1,1,1,1,1,1,0,0,0
140,1,1,1,1,1,0,1,1,0,0,1,1,1,1
136,1,1,1,1,1,1,0,1,1,1,1,1,1,0
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1,1,1,0,1,0
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,1,0,1,1,1,0,0,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,1,0,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,0,1,1,0,0,0,0,0
120,1,1,1,1,1,1,1,1,0,0,0,0,0,0
95,0,0,1,1,1,1,1,1,1,1,1,0,1,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0,1,1,1,1,1,1,1,1,1,1,1,0,0
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1,1,0,1,1
86,1,1,1,1,1,1,1,1,1,1,1,0,0,0
85,0,1,1,1,1,1,0,1,1,1,1,1,1,1
80,1,1,1,1,1,1,0,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0,1,1,1,1,0,0,1,1,1,0,0,0,0
73,1,1,1,1,1,1,0,1,1,1,1,0,0,0
115,0,0,1,1,1,0,1,0,1,1,1,1,0,0
