Subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
6,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
7,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
12,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
25,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
32,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
42,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
45,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
46,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
47,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
51,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
52,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
54,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
53,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
57,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
58,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
59,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
63,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
70,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
71,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
77,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0
78,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
75,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
72,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0
73,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
76,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0
79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
80,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
