Subject,IQ_cft.csv
4,34
5,31
6,29
7,30
8,30
9,35
10,38
11,32
12,26
13,27
21,31
22,33
23,33
24,37
25,33
31,32
32,31
41,37
42,30
45,29
46,28
47,32
51,29
52,35
54,34
53,18
55,33
57,31
58,32
59,37
60,37
62,19
63,27
61,29
70,33
71,34
77,21
78,29
75,34
72,29
153,29
152,28
150,37
144,35
143,34
142,35
141,29
140,27
136,28
135,28
134,29
133,34
132,39
131,33
130,30
125,27
124,34
123,27
122,29
121,30
120,34
95,30
94,39
91,26
89,29
87,23
86,26
85,33
80,32
79,33
76,30
73,27
115,26
