Subject,IQ_ravens.csv
4,17
5,14
6,9
7,13
8,13
9,16
10,16
11,14
12,11
13,15
21,15
22,15
23,18
24,13
25,14
31,11
32,13
41,12
42,13
45,15
46,13
47,15
51,17
52,18
54,15
53,3
55,15
57,14
58,8
59,13
60,10
62,4
63,10
61,15
70,12
71,11
77,9
78,15
75,11
72,15
153,15
152,16
150,14
144,15
143,14
142,17
141,12
140,12
136,15
135,13
134,11
133,17
132,16
131,15
130,18
125,12
124,14
123,12
122,13
121,12
120,14
95,16
94,15
91,12
89,15
87,11
86,12
85,15
80,16
79,14
76,17
73,9
115,11
