Subject,IQ_readcomp.csv
4,12
5,10
6,6
7,11
8,13
9,10
10,14
11,11
12,10
13,13
21,13
22,14
23,11
24,12
25,12
31,11
32,13
41,12
42,9
45,8
46,11
47,11
51,14
52,13
54,10
53,6
55,12
57,13
58,12
59,12
60,13
62,3
63,13
61,11
70,8
71,11
77,11
78,14
75,14
72,8
153,14
152,13
150,14
144,14
143,9
142,12
141,11
140,11
136,12
135,14
134,12
133,14
132,14
131,14
130,14
125,14
124,11
123,14
122,13
121,8
120,8
95,11
94,14
91,11
89,14
87,13
86,11
85,12
80,13
79,14
76,7
73,10
115,8
