TrialNumber	stim0	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	B	B	A					A	4	2	shapes	B	Practice	False	120	(-1.7554398586142508, 2.047982815527698)	(-5.3272195318340136, -8.4419622264647547)	(4.3888170574240739, 0.12310793377821838)	(0.40854304840508604, -5.5641307546265626)	1.0	z	6.77557
2	N	A	N	M					M	4	2	shapes	N	Practice	False	120	(3.4614508046846666, 1.8952599536292514)	(2.9250437169668366, -8.6473159712168339)	(-5.0677639135789914, -0.92778551249360053)	(-6.9216727213779237, 3.9164877772960072)	1.0	slash	3.14283
3	M	A	A	B	M	N	N	B	M	8	4	shapes	M	Practice	True	120	(-6.8258587546052567, -7.5458578371834211)	(-3.4088346205392837, -4.2886050028237159)	(-8.4557474080510069, 2.7347029141674497)	(1.0786627446483781, 6.2164677301803977)	1.0	z	1.63828
4	M	B	B	M					M	4	0	shapes	M	Practice	True	120	(5.2359613827793794, 5.576949546721135)	(7.1964207890230636, -7.9173921140769474)	(-1.931956309806802, -4.60745737259841)	(-4.776253801564998, 5.5822686847954603)	1.0	z	1.42385
5	M	B	N	B					B	4	3	shapes	B	Practice	True	120	(-2.5911459371622154, 4.6056478776213954)	(8.2862898869683654, 0.90828441687063943)	(-1.0225528778917292, -2.4187910662663539)	(7.6685483309313724, -7.9346023708056768)	1.0	slash	3.16542
6	N	B	M	A	A	B	N	M	N	8	6	shapes	N	Practice	True	120	(7.3608242621647655, 3.2903446521205097)	(2.4435668225682541, 6.1754714541386644)	(2.9574591117538329, -6.6517135231116846)	(-6.1914681934214695, -3.1912083147216306)	1.0	slash	2.16898
7	M	A	A	M	B	N	N	B	B	8	3	shapes	M	Practice	False	120	(6.2470067091609049, -7.7391831564588207)	(-0.12180592901308884, -6.153479811694174)	(-7.6958220183515573, 3.6103671730904292)	(-5.7338439624989306, -4.5005164224972685)	1.0	slash	2.90863
8	N	A	B	M	B	A	N	M	A	8	2	shapes	B	Practice	False	120	(6.4584747528318243, -6.8525068646658864)	(-3.2152794489396861, -8.5084316553121457)	(3.5010282350995787, 3.6666072323908789)	(-7.1119648589236144, 5.4388840243122427)	1.0	z	1.602
1	N	B	M	M					A	4	3	shapes	M	0	False	120	(6.6241162567400771, 7.942334942563221)	(-2.3207062720316367, 0.017222962755074178)	(4.0761618351476123, -5.2691449517809907)	(-8.7483312482195661, -3.1854182683210883)	1.0	slash	3.08533
2	N	B	M	N	M	B	A	A	A	8	6	shapes	A	0	True	120	(-2.0493793592977436, 4.699043443916743)	(4.2056850839047026, 7.4047137734035182)	(-3.3501123467567551, -7.5916690614304638)	(8.4172799942019587, -1.9355253056025346)	1.0	z	1.20659
3	N	A	A	B	B	M	N	M	N	8	0	shapes	N	0	True	120	(6.2045083914842163, -6.7921162610447832)	(-1.8114402033322641, 5.879288374334708)	(-4.9872891768856427, 8.5257182375140879)	(4.7280899778842702, 8.2528876781770322)	1.0	slash	1.8264
4	M	A	N	N	B	A	M	B	A	8	7	shapes	B	0	False	120	(7.4278581086082518, -1.6269889932978483)	(-3.5780754532748151, 3.5470463615641012)	(-4.8413579408345493, -3.7991822929776173)	(5.0540518052194088, 1.7595961560008764)	1.0	slash	2.02204
5	N	A	N	B	M	A	B	M	M	8	4	shapes	M	0	True	120	(8.5153509239857677, 5.8588661182995221)	(-4.0756746730796971, 4.6688930182126924)	(-0.10865429563121864, -1.4731727691114465)	(5.3308710333277141, 0.55400796656575579)	1.0	slash	2.70141
6	N	A	B	M					A	4	1	shapes	A	0	True	120	(1.4629411505353662, -4.2869493829765641)	(-4.7996854412090872, -8.374783195374027)	(8.4962524500472298, 0.31646238943891802)	(-4.7342564128001978, 4.5079410732860126)	1.0	slash	1.48312
7	N	A	A	B					B	4	0	shapes	N	0	False	120	(-1.2814687111684062, 2.0609803066408769)	(6.5188612816614242, -7.2629899463790712)	(-7.0267186203391274, -0.034092200892809288)	(2.983683248443004, 0.080838840738310935)	1.0	slash	1.3885
8	M	B	B	M					M	4	3	shapes	M	0	True	120	(4.6518778628791626, -0.72161586617341555)	(4.6926940830440795, 6.525253178063064)	(-0.80723577382943201, 1.4295076194251735)	(-1.8069619987738905, -8.472603909310374)	1.0	slash	0.992322
9	N	B	M	M					B	4	3	shapes	M	0	False	120	(-7.8746825182958062, 0.2654039649061648)	(-5.4800072799275146, -5.7155628260520137)	(8.6156085334314518, -1.0478569855655939)	(1.0506380356697598, 8.1190881768002328)	1.0	slash	1.09196
10	M	B	A	N					M	4	0	shapes	M	0	True	120	(6.7877004079746452, 4.7282376501329377)	(4.7189053380692378, -0.16643736600768833)	(-0.4864592587244605, 4.3356425157256986)	(-0.55446705272074581, -7.5886098180998314)	1.0	slash	0.689588
11	M	B	N	M					N	4	3	shapes	M	0	False	120	(8.7021714436689059, 4.3048561904823632)	(6.9460282785272174, -8.6859815674421039)	(-8.2381187364312094, -0.83970889490383627)	(-1.4656725814748111, 2.6247577231430821)	1.0	z	1.30526
12	N	B	M	M	N	A	B	A	N	8	6	shapes	B	0	False	120	(1.7510742344554551, 6.0792811758244056)	(2.9406086636614042, -4.8827039684007776)	(-8.5628045374808384, -2.4854951183239544)	(8.3594571276549416, 1.3938058903549884)	1.0	z	1.40883
13	M	A	M	B	N	A	N	B	B	8	4	shapes	N	0	False	120	(-5.263552742179753, 8.1068535315742842)	(3.4200897699185813, -3.425778625016596)	(-1.0662517639870082, 7.2439680685528689)	(-5.9672524005314109, -2.8340451736843608)	1.0	slash	1.67649
14	N	B	N	A					N	4	0	shapes	N	0	True	120	(6.6846651096205214, -7.9909327202488276)	(8.0805888516045208, 1.1240358114538207)	(-1.1032275155711515, -3.4946372337929441)	(-3.6593459929996914, 4.7486747670921812)	1.0	z	1.7781
15	M	B	B	A					A	4	3	shapes	A	0	True	120	(-4.7179844902732224, -8.6098219634076258)	(6.5194456402088488, 0.21934863257524384)	(-8.669573313614471, 8.2647960448989863)	(7.1483215430975626, -8.2789260424719799)	1.0	z	1.64758
16	N	B	M	N	B	M	A	A	M	8	5	shapes	M	0	True	120	(3.205103580307151, 1.7475410961017701)	(-4.3388097937557104, 8.7139909836448446)	(2.5987669759326231, 5.8523921763571085)	(-0.66623265676266641, -2.7556657941692428)	1.0	z	1.17119
17	M	B	A	B					B	4	1	shapes	B	0	True	120	(-6.0382853910693184, 0.12579590991143164)	(4.0414107544229889, 4.8876171512468769)	(7.5224856876967898, -2.2434080363754987)	(-3.3045563378128904, -6.2038064269479039)	1.0	z	1.27488
18	M	A	A	N					A	4	2	shapes	A	0	True	120	(6.1008188567880328, -5.6011336754112016)	(-4.5963138013937224, -4.0453153363049843)	(-7.9185327513702664, 7.8669595930632248)	(3.2854349850528273, 1.5891130650599727)	1.0	z	1.15837
19	M	B	B	A	A	N	M	N	N	8	1	shapes	B	0	False	120	(1.7659692561172093, 2.0723587083176973)	(-3.8803466839699672, -1.3732565920163076)	(6.8064259000255678, 1.917645220169419)	(-6.1558872406645246, -5.8492826484019638)	1.0	slash	1.30756
20	N	A	N	B	M	M	A	B	A	8	7	shapes	B	0	False	120	(4.2869769955695904, -2.6527845261638756)	(-1.3146827948417528, 2.1344196677984471)	(-4.3225384588681992, -2.637199840267062)	(-7.9142191827900152, 3.040084271708313)	1.0	slash	0.931685
