TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	N	A	M	A	A	4	3	shapes	A	Practice	True	4	(-3.2646507962344531, -1.946911535592081)	(8.5940690360341421, -3.7614676589481766)	(-2.8470668360232247, 4.602504295888453)	(7.318532143100974, 6.0143405597663406)	1.0	z	2.03268
2	M	B	M	N	M	8	2	shapes	M	Practice	True	4	(2.1760522953533687, -7.1563744305245711)	(-2.5781716851108243, -7.7698954784479195)	(-5.6492431883783487, 4.7244860272320022)	(1.0481837827781142, -1.0736769181662131)	1.0	z	1.11832
3	M	A	A	A	B	4	1	shapes	A	Practice	False	4	(1.9584689630451457, 7.7795899017545906)	(-4.7123672158060197, 4.1896616016514194)	(-6.1100431497462946, -8.729040046644414)	(5.7990843539420585, -2.7536662317048375)	1.0	slash	0.871847
4	M	B	M	N	B	8	0	shapes	M	Practice	False	4	(0.46711246583937793, -2.6819059810489563)	(-2.7386678567807223, 7.651598701412091)	(8.5006394082278547, -2.1128086638964136)	(-6.542791064863426, -5.4629371232233694)	1.0	z	1.12534
5	N	B	M	M	B	4	3	shapes	M	Practice	False	4	(-6.8794410888834756, -8.0452149266169641)	(0.045350531330710098, -3.9791025618277196)	(-5.9452270071109545, 7.5406201638490522)	(2.1267744168070859, 3.0609085726841627)	1.0	z	0.831099
6	N	A	M	N	A	8	4	shapes	A	Practice	True	4	(2.325227076944266, 6.0659614816847718)	(-5.3643540020501188, 3.0120621246367669)	(6.5943321088308018, -0.03104889836493463)	(-8.0841182141623626, -1.5449678895881416)	1.0	slash	0.884722
7	N	B	N	M	M	8	7	shapes	N	Practice	False	4	(5.4703332317564985, 8.7008755123708355)	(2.7461509208695087, 3.507046255058329)	(0.018842422204386367, -2.1822983284294848)	(-1.5618994842322032, -7.0838910839967584)	1.0	slash	1.61633
8	N	A	A	M	A	4	2	shapes	A	Practice	True	4	(2.4918127744921836, -2.1157108412209)	(-4.3597076868601494, 0.13000546886550346)	(4.6012668160159294, 8.1222914192352853)	(-2.8557697420804269, -5.0603028594868187)	1.0	z	0.711968
1	M	A	N	N	A	8	2	shapes	N	0	False	4	(5.1858471467206382, -2.2009072021296561)	(-0.93936722798858252, -5.6840060284140019)	(-6.7989231597876882, 2.1917483889783913)	(1.2348888570303238, 5.332213725865067)	1.0	slash	0.740232
2	N	B	M	M	B	8	5	shapes	B	0	True	4	(8.5977862648276542, -6.0851895216530796)	(-2.0691606639467555, -4.7084898973504945)	(-5.614194757648038, -2.084160043653724)	(6.1843966183090711, 1.3034500438954257)	1.0	z	0.741765
